Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
"agriculture,_forestry,_fisheries_and_veterinary_medicine","Agriculture, forestry, fisheries and veterinary medicine","Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo","agriculture,_forestry,_fisheries_and_veterinary_medicine",16,4
arts_and_humanities,Arts and humanities,Umjetnost i humanističke nauke,arts_and_humanities,16,4
"business,_administration_and_law","Business, administration and law","Poslovanje, administracija i pravo","business,_administration_and_law",16,4
education,Education,Obrazovanje,education,16,4
"engineering,_production_and_construction","Engineering, manufacturing and construction","Inženjerstvo, proizvodnja i građevinarstvo","engineering,_production_and_construction",16,4
health_and_social_protection,Health and social protection,Zdravstvo i socijalna zaštita,health_and_social_protection,16,4
information_and_communication_technologies,Information and communication technologies,Informacione i komunikacione tehnologije,information_and_communication_technologies,16,4
"natural_sciences,_mathematics_and_statistics","Natural sciences, mathematics and statistics","Prirodne nauke, matematika i statistika","natural_sciences,_mathematics_and_statistics",16,4
services,Services,Usluge,services,16,4
"social_sciences,_journalism_and_information","Social sciences, journalism and information","Društvene nauke, novinarstvo i informisanje","social_sciences,_journalism_and_information",16,4
total,Total,Ukupno,total,15,3
