Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
BANJA LUKA,BANJA LUKA,BANJA LUKA,BANJA LUKA,BANJA LUKA,125,8
BERKOVICI,BERKOVICI,BERKOVICI,BERKOVICI,BERKOVICI,179,9
BIJELJINA,BIJELJINA,BIJELJINA,BIJELJINA,BIJELJINA,125,8
BILECA,BILECA,BILECA,BILECA,BILECA,123,8
bileca,bileca,Bileća,bileca,bileca,60,1
BRATUNAC,BRATUNAC,BRATUNAC,BRATUNAC,BRATUNAC,125,8
bratunac,bratunac,Bratunac,bratunac,bratunac,60,1
BROD,BROD,BROD,BROD,BROD,185,9
CAJNICE,CAJNICE,CAJNICE,CAJNICE,CAJNICE,181,9
CELINAC,CELINAC,CELINAC,CELINAC,CELINAC,185,9
DERVENTA,DERVENTA,DERVENTA,DERVENTA,DERVENTA,125,8
DOBOJ,DOBOJ,DOBOJ,DOBOJ,DOBOJ,125,8
DONJI ZABAR,DONJI ZABAR,DONJI ZABAR,DONJI ZABAR,DONJI ZABAR,180,9
FOCA,FOCA,FOCA,FOCA,FOCA,185,9
GACKO,GACKO,GACKO,GACKO,GACKO,183,9
GRAD BIJELJINA,GRAD BIJELJINA,GRAD BIJELJINA,GRAD BIJELJINA,GRAD BIJELJINA,60,1
GRAD DERVENTA,GRAD DERVENTA,GRAD DERVENTA,GRAD DERVENTA,GRAD DERVENTA,60,1
GRAD DOBOJ,GRAD DOBOJ,GRAD DOBOJ,GRAD DOBOJ,GRAD DOBOJ,60,1
GRAD GRADISKA,GRAD GRADISKA,GRAD GRADISKA,GRAD GRADISKA,GRAD GRADISKA,60,1
GRAD ISTOCNO SARAJEVO,GRAD ISTOCNO SARAJEVO,GRAD ISTOCNO SARAJEVO,GRAD ISTOCNO SARAJEVO,GRAD ISTOCNO SARAJEVO,60,1
GRAD PRIJEDOR,GRAD PRIJEDOR,GRAD PRIJEDOR,GRAD PRIJEDOR,GRAD PRIJEDOR,60,1
GRAD TREBINJE,GRAD TREBINJE,GRAD TREBINJE,GRAD TREBINJE,GRAD TREBINJE,60,1
GRAD ZVORNIK,GRAD ZVORNIK,GRAD ZVORNIK,GRAD ZVORNIK,GRAD ZVORNIK,60,1
grad_banja_luka,grad_banja_luka,Grad Banja Luka,grad_banja_luka,grad_banja_luka,60,1
GRADISKA,GRADISKA,GRADISKA,GRADISKA,GRADISKA,125,8
HAN PIJESAK,HAN PIJESAK,HAN PIJESAK,HAN PIJESAK,HAN PIJESAK,173,9
ISTOCNA ILIDZA,ISTOCNA ILIDZA,ISTOCNA ILIDZA,ISTOCNA ILIDZA,ISTOCNA ILIDZA,185,9
ISTOCNI DRVAR,ISTOCNI DRVAR,ISTOCNI DRVAR,ISTOCNI DRVAR,ISTOCNI DRVAR,140,9
