Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Total,Ukupno,Укупно,Ukupno,30,1
art_schools,Art schools,Škole umjetnosti,art_schools,Škole umjetnosti,31,2
gymnasium,Gymnasium,Gimnazija,gymnasium,Gimnazija,31,2
high_schools_for_children_with_special_needs,High schools for children with special needs,Srednje škole za djecu s posebnim potrebama,high_schools_for_children_with_special_needs,Srednje škole za djecu s posebnim potrebama,30,1
high_schools_for_students_with_disabilities,high_schools_for_students_with_disabilities,high_schools_for_students_with_disabilities,high_schools_for_students_with_disabilities,high_schools_for_students_with_disabilities,1,1
religion_schools,Religion schools,Vjerske škole,religion_schools,Vjerske škole,30,1
religious_schools,religious_schools,religious_schools,religious_schools,religious_schools,1,1
technical_high_schools,technical_high_schools,technical_high_schools,technical_high_schools,technical_high_schools,1,1
technical_schools,Technical schools,Tehničke škole,technical_schools,Tehničke škole,30,1
vocational_high_schools,vocational_high_schools,vocational_high_schools,vocational_high_schools,vocational_high_schools,1,1
vocational_schools,Vocational schools,Škole za stručno obrazovanje,vocational_schools,Strukovne škole,30,1
